Name,State,Zip,Street,City,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Student-to-faculty ratio,Phone

Academy of Salon Professionals,Missouri,65301,2414 S. Limit Ave, Sedalia,www.academyofsalonprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,44 (all undergraduate),15 to 1,(660) 827-4500

A Better U Beauty Barber Academy,New Mexico,87110,5400 Phoenix Ave NE Suite 105, Albuquerque,abuacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),6 to 1,(505) 265-4777

Academy of Hair Design-Grenada,Mississippi,38901,1301 Sunset Dr #JK, Grenada,www.academyofhair.com/grenada-campus,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,34 (all undergraduate),15 to 1,(601) 372-9800

Advanced Welding Institute,Vermont,05403,2 Green Tree Dr Suite 3, South Burlington,www.awi.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Small,No,66 (all undergraduate),11 to 1,(802) 660-0600

Academy di Firenze,Idaho,83338-2329,149 West Main Street, Jerome,www.academydifirenze.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,15 (all undergraduate),8 to 1,(208) 644-1546

Adrian's College of Beauty Turlock,California,95380,1340 W Main St, Turlock,www.adrians.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,85 (all undergraduate),10 to 1,(209) 632-2233

Acaydia School of Aesthetics,,,,,www.acaydia.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,133 (all undergraduate),10 to 1,(801) 377-0025 x3

Academy for Five Element Acupuncture,Florida,32601,305 SE 2nd Ave, Gainesville,www.acupuncturist.edu/,"4-year, Private not-for-profit",Master's degree,City: Midsize,No,91 (0 undergraduate),,(352) 335-2332

Academy of Hair Design-Jasper,Texas,75951,348 Spring Hill St, Jasper,lufkinhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,46 (all undergraduate),12 to 1,(409) 384-8200

Aaniiih Nakoda College,Montana,59526,269 Blackfeet Avenue Agency, Harlem,www.ancollege.edu/,"4-year, primarily associate's, Public",One but less than two years certificateAssociate's degreeBachelor's degree,Rural: Remote,No,143 (all undergraduate),10 to 1,(406) 353-2607 x3901

Adult and Continuing Education-BCTS,New Jersey,07601-6637,190 Hackensack Avenue, Hackensack,bcts.bergen.org/index.php/adult-ed-main-page,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,60 (all undergraduate),15 to 1,(201) 343-6000 x2288

Advantage Technical College,Puerto Rico,00674,3 Ramos Velez St, Manati,www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,512 (all undergraduate),48 to 1,(787) 854-4776

Access Careers-Islandia,,,,,www.accesscareers.net/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,89 (all undergraduate),13 to 1,(631) 630-9410

Academy of Hair Design-Lufkin,Texas,75904,512 S Chestnut, Lufkin,lufkinhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,83 (all undergraduate),10 to 1,(936) 634-8440

Advance Beauty Techs Academy,California,92583-6572,641 N State St Ste 1, San Jacinto,www.abt.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,110 (all undergraduate),20 to 1,(951) 487-8751

ABC Adult School - Cabrillo Lane,California,90703-7748,20122 Cabrillo Lane, Cerritos, ,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,,,(562) 809-9011

Advantage Technical College-Aguadilla,Puerto Rico,00603-0000,#7 Jose de Jesus Estevez Street, Aguadilla,www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,169 (all undergraduate),42 to 1,(787) 658-1667

Academy for Nursing and Health Occupations,Florida,33417,5154 Okeechobee Blvd Ste 201, West Palm Beach,www.anho.edu/,"2-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,703 (all undergraduate),36 to 1,(561) 683-1400

Ace Institute of Technology,,,,,www.acecareer.edu/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,City: Large,No,204 (all undergraduate),11 to 1,(212) 695-9700

Advanced Barber College and Hair Design,Texas,78596,2818 S International, Weslaco,abcrgv.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,182 (all undergraduate),20 to 1,(956) 969-0341

Academy of Art University,California,94105,79 New Montgomery, San Francisco,www.academyart.edu/,"4-year, Private for-profit",Associate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degree,City: Large,Yes,"8,928 (6,124 undergraduate)",14 to 1,(800) 544-2787

ABCO Technology,California,90304-1551,11222 S. La Cienega Blvd Ste 588, Inglewood,www.abcotechnology.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,74 (all undergraduate),14 to 1,(310) 216-3067

Aesthetic Science Institute,New York,12110-1095,922 Troy-Schenectady Road, Latham,www.aestheticscienceinstitute.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,79 (all undergraduate),16 to 1,(518) 786-0760

Academy of Hair Design-Pearl,Mississippi,39208,3167 Hwy 80 E, Pearl,www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,45 (all undergraduate),10 to 1,(601) 372-9800

Acupuncture and Massage College,Florida,33176,10506 N Kendall Drive, Miami,www.amcollege.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree,City: Small,No,171 (41 undergraduate),24 to 1,(305) 595-9500

Advanced Career Institute,California,93291,1728 North Kelsey Street, Visalia,advanced.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,670 (all undergraduate),14 to 1,(559) 651-1978

Academy of Hair Technology,South Carolina,29615-2363,3715 E North St Ste F, Greenville,www.hairchamps.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,28 (all undergraduate),14 to 1,(864) 322-0300

AI Miami International University of Art and Design,,,,,www.artinstitutes.edu/miami/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,934 (874 undergraduate),17 to 1,(305) 428-5700

Academy of Careers and Technology,West Virginia,25801,390 Stanaford Rd, Beckley,www.wvact.net/,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,City: Small,No,180 (all undergraduate),14 to 1,(304) 256-4615 x302

Advanced College - Salida,California,95368-9072,5258 Pirrone Court, Salida, ,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,,,(209) 290-0333

Adelphi University,New York,11530-0701,South Ave, Garden City,www.adelphi.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,Yes,"7,584 (5,124 undergraduate)",12 to 1,(516) 877-3000

Abilene Christian University,,,,,www.acu.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,City: Midsize,Yes,"5,291 (3,494 undergraduate)",13 to 1,(325) 674-2000

Academy of Interactive Entertainment,Washington,98109-4623,305 Harrison St Ste 405, Seattle,www.aie.edu/,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,No,135 (all undergraduate),27 to 1,(206) 428-6350

Advanced College-Stockton,California,95120-3145,8838 North West Lane, Stockton,www.advancedcollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,,,(209) 490-4591

Adler University,Illinois,60602,17 North Dearborn Street, Chicago,www.adler.edu/,"4-year, Private not-for-profit",Master's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Large,No,"1,726 (0 undergraduate)",,(312) 662-4000

Academy of Cosmetology,Florida,32953,2088 N. Courtenay Parkway, Merritt Island,academyofcosmetology.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,113 (all undergraduate),16 to 1,(321) 452-8490

Abraham Lincoln University,,,,,www.alu.edu/,"4-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,No,265 (69 undergraduate),3 to 1,(213) 252-5100

Aiken Technical College,South Carolina,29829,2276 Jefferson Davis Highway, Graniteville,www.atc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"1,925 (all undergraduate)",11 to 1,(803) 508-7263

Academy of Natural Therapy Inc,Colorado,80631-9441,625 8th Ave, Greeley,www.natural-therapy.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,41 (all undergraduate),9 to 1,(970) 352-1181

Advanced Training Institute,Nevada,89118-1519,5150 S. Decatur Blvd., Las Vegas,www.atitraining.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,605 (all undergraduate),"10 to 1View noteDue to the IPEDS calculation method, the institution's student-to-faculty ratio in this survey is reported as 10:1. However, the institution's average class size is 24 students, with a maximum student-to-teacher ratio of 30:1 for lecture and 25:1 for labs. If any class exceeds those maximums, ATI will provide an additional lab assistant so that the maximum stated student-to-teacher ratio is maintained.",(702) 658-7900

Adrian H. Wallace Barber Academy,Florida,32503-2802,3822 North 9th Avenue, Pensacola,www.ahwbarberacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,30 (all undergraduate),10 to 1,(443) 564-3005

Air Force Institute of Technology-Graduate School of Engineering & Management,Ohio,45433-7765,2950 Hobson Way, Wright-Patterson AFB,www.afit.edu/,"4-year, Public",Postbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Suburb: Large,No,"1,129 (0 undergraduate)",,(937) 255-3636

Academy College,,,,,www.academycollege.edu/,"4-year, Private for-profit",Associate's degreeBachelor's degree,City: Small,No,95 (all undergraduate),11 to 1,(952) 851-0066

Academy of Cosmetology Inc,Montana,59715-3544,133 W Mendenhall, Bozeman,www.academycosmetology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,33 (all undergraduate),17 to 1,(406) 587-1264

Academy of Salon and Spa,Arkansas,72901,311 S 16th St, Fort Smith,www.academysalonspa.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Small,No,53 (all undergraduate),20 to 1,(479) 782-5059

Alabama College of Osteopathic Medicine,Alabama,36303-2251,445 Health Sciences Boulevard, Dothan,www.acom.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Fringe,No,705 (0 undergraduate),,(334) 699-2266

Academy of Hair Design - Austin,Texas,78741-1338,2015 East Riverside Drive, Austin,www.aohd.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,,,(512) 596-5000

Academy Di Capelli-School of Cosmetology,Connecticut,06492,950 Yale Ave Unit 20, Wallingford,www.academydicapelli.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,196 (all undergraduate),8 to 1,(203) 294-9496 x0

Alabama School of Nail Technology & Cosmetology,Alabama,36545-2718,202 Commerce Street, Jackson,www.alabamaschoolofnailtechnology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,25 (all undergraduate),20 to 1,(251) 246-9992

Albany Technical College,Georgia,31701,1704 South Slappey Boulevard, Albany,www.albanytech.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Small,No,"3,022 (all undergraduate)",14 to 1,(229) 430-3500

Alhambra Beauty College,California,91801,200 W Main St, Alhambra,alhambrabeauty.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,46 (all undergraduate),20 to 1,(626) 282-7765

Alabama State University,Alabama,36104-0271,915 S Jackson Street, Montgomery,www.alasu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"4,072 (3,614 undergraduate)",15 to 1,(334) 229-4100

Allen University,South Carolina,29204,1530 Harden Street, Columbia,www.allenuniversity.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Midsize,Yes,705 (656 undergraduate),15 to 1,(803) 376-5700

Albertus Magnus College,Connecticut,06511-1189,700 Prospect St, New Haven,www.albertus.edu/,"4-year, Private not-for-profit",Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,City: Midsize,Yes,"1,384 (1,088 undergraduate)",14 to 1,(203) 773-8550

American Academy McAllister Institute of Funeral Service,,,,,www.funeraleducation.org/,"2-year, Private not-for-profit",Associate's degree,City: Large,No,463 (all undergraduate),22 to 1,(212) 757-1190

Allstate Hairstyling & Barber College,Ohio,44113-3413,2546 Lorain Avenue, Cleveland,www.allstatehairstyling.com/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,City: Large,No,30 (all undergraduate),10 to 1,(216) 241-6684

Alice Lloyd College,Kentucky,41844,100 Purpose Rd, Pippa Passes,www.alc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Rural: Remote,Yes,569 (all undergraduate),21 to 1,(606) 368-6000

Alamo City Barber College,Texas,78250-3227,8910 Bandera Road Suite 209, San Antonio,www.alamocitybarbercollege.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,143 (all undergraduate),25 to 1,(210) 523-7777

American Academy of Art,Illinois,60604-4302,332 S Michigan Ave, Chicago,www.aaart.edu/,"4-year, Private not-for-profit",Bachelor's degree,City: Large,No,169 (all undergraduate),7 to 1,(312) 461-0600

Alliance Career Center,Ohio,44601,500 Glamorgan St., Alliance,www.accrtw.org/,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Town: Fringe,No,50 (all undergraduate),8 to 1,(330) 821-2102

Albizu University-Miami,Florida,33172-2209,2173 N.W. 99th Avenue, Miami,www.albizu.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,City: Small,No,802 (146 undergraduate),12 to 1,(305) 593-1223

All Beauty College,Arizona,86409-2561,2153 East Gordon Drive, Kingman,abcollege.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,28 (all undergraduate),20 to 1,(928) 692-8800

Alpena Community College,Michigan,49707,665 Johnson St, Alpena,www.alpenacc.edu/,"4-year, primarily associate's, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Rural: Fringe,Yes,"1,436 (all undergraduate)",13 to 1,(989) 356-9021

Alaska Career College,Alaska,99507-1033,1415 E Tudor Road, Anchorage,www.alaskacareercollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,412 (all undergraduate),16 to 1,(907) 563-7575

Alliance Computing Solutions - NYC,New York,10018-4313,545 8th Avenue Suite 1210, New York,www.acs.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,,,(212) 868-5990

American Academy of Dramatic Arts-Los Angeles,California,90028,1336 North La Brea Avenue, Los Angeles,www.aada.edu/,"2-year, Private not-for-profit",One but less than two years certificateAssociate's degree,City: Large,Yes,106 (all undergraduate),8 to 1,(323) 464-2777 x109

Altierus Career College-Norcross,Georgia,30093-2813,1750 Beaver Ruin Rd-Ste 500, Norcross,www.altierus.edu/,"2-year, Private not-for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,No,684 (all undergraduate),29 to 1,(770) 921-1085

Albright College,Pennsylvania,19612-5234,1621 N. 13th St., Reading,www.albright.edu/home/,"4-year, Private not-for-profit",One but less than two years certificateTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degree,City: Small,Yes,"1,584 (1,539 undergraduate)",12 to 1,(610) 921-2381

Allan Hancock College,California,93454-6399,800 South College Drive, Santa Maria,www.hancockcollege.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Midsize,No,"10,248 (all undergraduate)",22 to 1,(805) 922-6966

Alliant International University-Irvine,,,,,www.alliant.edu/,"4-year, Private for-profit",Master's degreeDoctor's degree - research/scholarship,City: Large,,,,(949) 833-2651

Alaska Pacific University,Alaska,99508,4101 University Dr, Anchorage,www.alaskapacific.edu/,"4-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Large,Yes,493 (312 undergraduate),8 to 1,(907) 561-1266

American Academy of Health and Beauty,New Hampshire,03102-5263,981 Second Street, Manchester,myaahb.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,34 (all undergraduate),6 to 1,(603) 625-6100

Alder Graduate School of Education,California,94062,2946 Broadway, Redwood City,aldergse.edu/,"4-year, Private not-for-profit",Master's degree,City: Small,No,195 (0 undergraduate),,(650) 362-3997

Altoona Beauty School Inc,Pennsylvania,16602-6039,1528 Valley View Blvd., Altoona,www.altoonabeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Small,No,50 (all undergraduate),10 to 1,(814) 942-3141

Allegheny College,Pennsylvania,16335-3902,520 N Main St, Meadville,allegheny.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,"1,667 (all undergraduate)",9 to 1,(814) 332-3100

Alliant International University-Sacramento,California,95833,2030 West El Camino Ave., Sacramento,www.alliant.edu/,"4-year, Private for-profit",Master's degreeDoctor's degree - research/scholarship,City: Large,,,,(916) 565-2955

Albany BOCES-Adult Practical Nursing Program,New York,12205,900  Watervliet Shaker Rd, Albany,www.capitalregionboces.org/adult-education/classes-programs/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,161 (all undergraduate),35 to 1,(518) 862-4800

Alexander Academy,Massachusetts,01462-0000,55 Massachusetts Avenue, Lunenburg,www.alexanderacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,48 (all undergraduate),6 to 1,(978) 345-0011

American Baptist College,Tennessee,37207-9980,1800 Baptist World Ctr Dr, Nashville,www.abcnash.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degree,City: Large,Yes,55 (all undergraduate),7 to 1,(615) 256-1463

Alvernia University,Pennsylvania,19607-1799,400 Saint Bernardine St, Reading,www.alvernia.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"2,560 (2,045 undergraduate)",14 to 1,(610) 796-8200

Alliant International University-San Francisco,California,94608,1475 66th Street, Emeryville,www.alliant.edu/,"4-year, Private for-profit",Master's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,,,,(415) 955-2100

Allen College,Iowa,50703-1999,1990 Heath St, Waterloo,www.allencollege.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,City: Small,No,678 (374 undergraduate),11 to 1,(319) 226-2000

Albany Law School,New York,12208,80 New Scotland Avenue, Albany,www.albanylaw.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Small,No,566 (0 undergraduate),,(518) 445-2311

Alexandria School of Scientific Therapeutics,Indiana,46001-0287,809 S Harrison St, Alexandria,www.assti.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Small,Yes,17 (all undergraduate),17 to 1,(765) 724-9152

American Beauty Academy,Utah,84651,87 W 600 S, Payson,www.americanbeauty.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,35 (all undergraduate),3 to 1,(801) 465-1650

Allen School-Brooklyn,New York,11201,188 Montague Street, Brooklyn,www.allenschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,184 (all undergraduate),19 to 1,(718) 243-1700

Alvin Community College,Texas,77511-4898,3110 Mustang Rd, Alvin,www.alvincollege.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Large,No,"5,737 (all undergraduate)",12 to 1,(281) 756-3500

All-State Career School,Pennsylvania,19029,50 West Powhattan Avenue, Essington,www.allstatecareer.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Large,No,834 (all undergraduate),23 to 1,(610) 362-1124

Albany State University,Georgia,31705,504 College Drive, Albany,www.asurams.edu/,"4-year, Public",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreePost-master's certificate,City: Small,Yes,"6,509 (6,102 undergraduate)",19 to 1,(229) 500-3500

